SID,SEASON,NAME,ISO_TIME,LAT,LON,USA_WIND,USA_PRES,STORM_SPEED,STORM_DIR,Category
2001141N14068,2001,NOT_NAMED,2001-05-21 06:00:00,13.7,68.1,25.0,1002.0,9,89,Depression
2001141N14068,2001,NOT_NAMED,2001-05-21 09:00:00,13.7051,68.545,27.0,1002.0,9,93,Depression
2001141N14068,2001,NOT_NAMED,2001-05-21 12:00:00,13.65,69.0,30.0,1002.0,10,94,Depression
2001141N14068,2001,NOT_NAMED,2001-05-21 15:00:00,13.6344,69.5419,32.0,999.0,9,92,Depression
2001141N14068,2001,NOT_NAMED,2001-05-21 18:00:00,13.6143,69.9429,35.0,997.0,6,89,Depression
2001141N14068,2001,NOT_NAMED,2001-05-21 21:00:00,13.6425,70.1362,40.0,994.0,9,68,Depression
2001141N14068,2001,NOT_NAMED,2001-05-22 00:00:00,13.95,70.8,45.0,991.0,11,71,Depression
2001141N14068,2001,NOT_NAMED,2001-05-22 03:00:00,13.9925,71.2113,52.0,985.0,5,79,Depression
2001141N14068,2001,NOT_NAMED,2001-05-22 06:00:00,14.05,71.35,60.0,980.0,3,59,Depression
2001141N14068,2001,NOT_NAMED,2001-05-22 09:00:00,14.1425,71.4687,62.0,978.0,3,44,Depression
2001141N14068,2001,NOT_NAMED,2001-05-22 12:00:00,14.25,71.55,65.0,976.0,2,33,Category 1
2001141N14068,2001,NOT_NAMED,2001-05-22 15:00:00,14.3462,71.6012,67.0,974.0,2,13,Category 1
2001141N14068,2001,NOT_NAMED,2001-05-22 18:00:00,14.45,71.6,70.0,972.0,5,353,Category 1
2001141N14068,2001,NOT_NAMED,2001-05-22 21:00:00,14.8287,71.5475,72.0,969.0,5,344,Category 1
2001141N14068,2001,NOT_NAMED,2001-05-23 00:00:00,14.95,71.45,75.0,967.0,5,335,Category 1
2001141N14068,2001,NOT_NAMED,2001-05-23 03:00:00,15.2863,71.3325,77.0,967.0,8,323,Category 1
2001141N14068,2001,NOT_NAMED,2001-05-23 06:00:00,15.6,70.95,80.0,967.0,8,321,Category 1
2001141N14068,2001,NOT_NAMED,2001-05-23 09:00:00,15.8925,70.8137,82.0,962.0,6,306,Category 1
2001141N14068,2001,NOT_NAMED,2001-05-23 12:00:00,15.95,70.45,85.0,958.0,4,294,Category 2
2001141N14068,2001,NOT_NAMED,2001-05-23 15:00:00,16.0712,70.3962,90.0,956.0,3,339,Category 2
2001141N14068,2001,NOT_NAMED,2001-05-23 18:00:00,16.2,70.35,95.0,954.0,4,301,Category 2
2001141N14068,2001,NOT_NAMED,2001-05-23 21:00:00,16.2899,70.0225,97.0,951.0,7,283,Category 3
2001141N14068,2001,NOT_NAMED,2001-05-24 00:00:00,16.35,69.65,100.0,949.0,6,303,Category 3
2001141N14068,2001,NOT_NAMED,2001-05-24 03:00:00,16.6363,69.465,105.0,938.0,8,311,Category 3
2001141N14068,2001,NOT_NAMED,2001-05-24 06:00:00,16.9,69.0,110.0,927.0,9,286,Category 3
2001141N14068,2001,NOT_NAMED,2001-05-24 09:00:00,16.9001,68.5237,110.0,927.0,6,270,Category 3
2001141N14068,2001,NOT_NAMED,2001-05-24 12:00:00,16.9,68.35,110.0,927.0,2,276,Category 3
2001141N14068,2001,NOT_NAMED,2001-05-24 15:00:00,16.9212,68.2988,105.0,927.0,1,317,Category 3
2001141N14068,2001,NOT_NAMED,2001-05-24 18:00:00,16.95,68.3,100.0,927.0,3,281,Category 3
2001141N14068,2001,NOT_NAMED,2001-05-24 21:00:00,16.9712,68.0287,95.0,935.0,5,275,Category 2
2001141N14068,2001,NOT_NAMED,2001-05-25 00:00:00,17.0,67.75,90.0,944.0,1,322,Category 2
2001141N14068,2001,NOT_NAMED,2001-05-25 03:00:00,17.0538,67.9538,90.0,944.0,2,55,Category 2
2001141N14068,2001,NOT_NAMED,2001-05-25 06:00:00,17.1,67.9,90.0,944.0,1,297,Category 2
2001141N14068,2001,NOT_NAMED,2001-05-25 09:00:00,17.1113,67.8387,85.0,951.0,3,287,Category 2
2001141N14068,2001,NOT_NAMED,2001-05-25 12:00:00,17.2,67.55,80.0,958.0,0,215,Category 1
2001141N14068,2001,NOT_NAMED,2001-05-25 15:00:00,17.0787,67.81,77.0,958.0,3,118,Category 1
2001141N14068,2001,NOT_NAMED,2001-05-25 18:00:00,17.05,67.85,75.0,958.0,2,247,Category 1
